"Qty";"Value";"Device";"Package";"Parts";"Description";"CATEGORY";"DESCRIPTION";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"PART_STATUS";"POPULARITY";"ROHS_COMPLIANT";"SERIES";"SPICEMODEL";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";
"3";"";"9070-1W";"9070-1W";"RESET, SS/WAIT, STEP-CLK";"TOGGLE SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"LED5MM";"LED5MM";"PWR";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"MA20-2";"MA20-2";"SV1, SV2";"PIN HEADER";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X2";"1X02";"-INT-PULLUP";"PIN HEADER";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"SS-SEL";"PIN HEADER";"";"";"";"";"";"";"";"";"";"92";"";"";"";"";"";"";"";
"1";"";"PINHD-1X5";"1X05";"JP3";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X2";"2X02";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";
"1";"";"XO-14";"DIL14S";"QG1";"CRYSTAL";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";
"38";".1";"CAPEZ";"CAP-PTH-SMALLEZ";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10";"10k";"R-US_0207/10";"0207/10";"R1, R3, R4, R5, R6, R7, R8, R9, R10, R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"330";"R0207/10";"0207/10";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";"";
"3";"74ALS02N";"74ALS02N";"DIL14";"IC22, IC29, IC32";"Quad 2-input NOR gate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"74LS04N";"74LS04N";"DIL14";"IC31, IC36, IC37";"Hex INVERTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"74LS08N";"74LS08N";"DIL14";"IC24, IC27, IC38";"Quad 2-input AND gate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"74LS175N";"74LS175N";"DIL16";"IC8, IC9";"Qadruple D type FLIP FLOP, clear";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"74LS192N";"74LS192N";"DIL16";"IC33, IC34";"Synchronous 4-bit UP/DOWN COUNTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"74LS244N";"74LS244N";"DIL20";"IC1, IC2, IC4, IC5, IC11, IC15, IC18, IC35";"Octal BUFFER and LINE DRIVER, 3-state";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"74LS32N";"74LS32N";"DIL14";"IC25, IC26, IC30";"Quad 2-input OR gate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13";"74LS374N";"74LS374N";"DIL20";"IC3, IC6, IC7, IC10, IC12, IC13, IC14, IC16, IC17, IC19, IC20, IC21, IC28";"Octal D type transparent LATCH, edge triggered";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"74LS74N";"74LS74N";"DIL14";"IC23";"Dual D type positive edge triggered FLIP FLOP, preset and clear";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FABC96R";"FABC96R";"FABC96R";"X1";"CONNECTOR female, 96 pins, type R, rows ABC, grid 2.54 mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"OUT";"LED5MM";"LED5MM";".";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PINHD-1X2";"PINHD-1X2";"1X02";"JP2";"PIN HEADER";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"PIN-HEADER";"";"";
"1";"PINHD-1X4";"PINHD-1X4";"1X04";"JP4";"PIN HEADER";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"PIN-HEADER";"";"";
"2";"SWITCH-MOMENTARY-2SIDE_EZ";"SWITCH-MOMENTARY-2SIDE_EZ";"TACTILE-PTH-SIDEEZ";"CONT, HALT";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
