"Qty";"Value";"Device";"Package";"Parts";"Description";"CATEGORY";"DESCRIPTION";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"PART_STATUS";"POPULARITY";"ROHS_COMPLIANT";"SERIES";"SPICEMODEL";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"8";"";"62256P";"DIL28-6";"IC1, IC2, IC3, IC4, IC5, IC6, IC7, IC8";"MEMORY";"";"";"";"";"";"unknown";"unknown";"";"";"1";"";"";"";"";"";"";"";"";
"1";"";"9070-1W";"9070-1W";"UCODE";"TOGGLE SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"JP1E";"JP1";"DTR-RESET, FTDI-VCC";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"LED5MM";"LED5MM";"FAULT, LOADING, PWR, READY";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"MA20-2";"MA20-2";"SV1, SV2";"PIN HEADER";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17";"0.1";"C-US025-024X044";"C025-024X044";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C17, C19";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10k";"R-US_0207/10";"0207/10";"R1, R4, R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"16Mhz";"CRYSTALHC49S";"HC49/S";"Q1";"CRYSTAL";"";"";"";"";"";"1667008";"unknown";"";"";"";"";"";"";"";"";"";"";"";
"2";"2.2k";"R-US_0207/10";"0207/10";"R2, R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"20pf";"C-US025-024X044";"C025-024X044";"C16, C18";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"24AA01P";"24AA01P";"DIL8";"IC9";"Serial EEPROM";"";"";"";"";"24AA01-I/P";"1331266";"35M0692";"";"";"";"";"";"";"";"";"";"";"";
"3";"330";"R-US_0207/10";"0207/10";"R7, R8, R9";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"330";"R0207/10";"0207/10";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";"";"";
"1";"ATMEGA328P_PDIP";"ATMEGA328P_PDIP";"DIL28-3";"IC15";"uC used in the Arduino";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FTDI_DEVICE";"FTDI_DEVICE";"FTDI_DEVICE_SIDE";"JP3";"Connector which mates to FTDI basic or FTDI cable.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"MCP23017SP";"MCP23017SP";"DIL28-3";"IC10, IC11, IC12, IC13, IC14";"http://ww1.microchip.com/downloads/en/DeviceDoc/21952a.pdf";"";"";"";"MICROCHIP";"MCP23017-E/SP";"1332088";"31K2959";"";"";"";"";"";"";"";"";"";"";"";
"1";"PINHD-1X2";"PINHD-1X2";"1X02";"CADDR14";"PIN HEADER";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"PIN-HEADER";"";"";"";
"1";"PINHD-2X2";"PINHD-2X2";"2X02";"JP1";"PIN HEADER";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"PIN-HEADER";"";"";"";
"1";"SWITCH-MOMENTARY-2SIDE_EZ";"SWITCH-MOMENTARY-2SIDE_EZ";"TACTILE-PTH-SIDEEZ";"START";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TS-1109-7";"DIP-BUTTON-TOP-BLACK(4P-D6.2MM)";"SW4-6.2X6.2X5.0MM";"LOCAL-CPU-RESET";"311020032";"";"";"";"";"TS-1109-7";"";"";"";"";"";"";"";"";"";"";"";"";"TS-1109-7";
